gpsTime,lat,lon,altitude,speed,bearing,accuracy
1530998031000,40.78558592,-102.36449798,1150.80004882812,1.5,89.2,3
1530998032000,40.78558607,-102.36447947,1150.69995117188,1.5,89.3,3
1530998033000,40.78558604,-102.36446105,1150.59997558594,1.5,89.4,3
1530998034000,40.78558569,-102.36444241,1150.69995117188,1.5,89.9,3
1530998035000,40.78558544,-102.36442382,1150.5,1.5,89.9,3
1530998036000,40.78558523,-102.36440528,1150.5,1.5,90.1,3
1530998037000,40.78558511,-102.36438685,1150.5,1.5,89.7,3
1530998038000,40.78558506,-102.36436842,1150.30004882812,1.5,89.1,3
1530998039000,40.78558522,-102.36434982,1150.19995117188,1.5,88.3,3
1530998040000,40.78558528,-102.36433158,1150.40002441406,1.5,87.8,3
1530998041000,40.7855854,-102.36431289,1150.30004882812,1.5,87.8,3
1530998042000,40.78558552,-102.36429418,1149.90002441406,1.5,87.9,3
1530998043000,40.78558569,-102.36427563,1149.90002441406,1.5,88,3
1530998044000,40.78558592,-102.36425721,1149.80004882812,1.5,87.8,3
1530998045000,40.7855861,-102.36423955,1149.90002441406,1.5,88.1,3
1530998046000,40.78558637,-102.36422349,1149.90002441406,1.5,88.4,3
1530998047000,40.78558623,-102.3642095,1149.90002441406,1.5,88.9,3
1530998048000,40.78558591,-102.36421023,1150,0.5,88.9,3
1530998049000,40.78558472,-102.36421945,1150.19995117188,0,0,3
1530998050000,40.78558441,-102.36422422,1150.09997558594,0,0,3
1530998051000,40.78558444,-102.36422667,1150.09997558594,0,0,3
1530998052000,40.78558456,-102.36422806,1150,0,0,3
1530998053000,40.78558463,-102.36422865,1150,0,0,3
1530998054000,40.7855848,-102.36422909,1150,0,0,3
1530998055000,40.78558487,-102.36422986,1150,0,0,3
1530998056000,40.78558475,-102.36423047,1149.90002441406,0,0,3
1530998057000,40.78558479,-102.36423107,1149.80004882812,0,0,3
1530998058000,40.78558516,-102.36423149,1149.80004882812,0,0,3
1530998059000,40.7855855,-102.36423174,1149.80004882812,0,0,3
1530998060000,40.7855857,-102.36423188,1149.80004882812,0,0,3
1530998061000,40.78558581,-102.36423195,1149.80004882812,0,0,3
1530998062000,40.78558586,-102.36423199,1149.80004882812,0,0,3
1530998063000,40.78558592,-102.36423202,1149.80004882812,0,0,3
1530998064000,40.78558599,-102.36422881,1149.80004882812,0.5,88.9,3
1530998065000,40.78558637,-102.36421859,1149.69995117188,1,87,3
1530998066000,40.78558735,-102.36420466,1150.30004882812,1,85.3,3
1530998067000,40.7855882,-102.36418877,1150.69995117188,1.25,84.7,3
1530998068000,40.78558963,-102.36417173,1151,1.25,84.2,3
1530998069000,40.78559134,-102.36415414,1150.80004882812,1.25,84.4,3
1530998070000,40.78559378,-102.36413535,1151.40002441406,1.25,85,3
1530998071000,40.78559638,-102.36411611,1151.5,1.25,85.1,3
1530998072000,40.78559784,-102.36409694,1152,1.5,86.3,3
1530998073000,40.78559884,-102.36407858,1152.09997558594,1.5,85.1,3
1530998074000,40.78560103,-102.36406025,1153.09997558594,1.5,85.2,3
1530998075000,40.78560225,-102.36404063,1153.19995117188,1.5,87.7,3
1530998076000,40.78560169,-102.36402113,1153.30004882812,1.5,89.7,3
1530998077000,40.7856005,-102.36400174,1153.19995117188,1.5,92.9,3
1530998078000,40.78559933,-102.36398257,1153.09997558594,1.5,90.1,3
1530998079000,40.78559881,-102.36396402,1153.09997558594,1.5,90.7,3
1530998080000,40.78559848,-102.36394455,1153.40002441406,1.5,89.9,3
1530998081000,40.78559854,-102.3639248,1153.69995117188,1.5,90.8,3
1530998082000,40.78559837,-102.36390467,1153.90002441406,1.5,89.6,3
1530998083000,40.78559806,-102.3638841,1154.19995117188,1.5,89.8,3
1530998084000,40.78559719,-102.36386463,1153.30004882812,1.5,90.9,3
1530998085000,40.78559687,-102.36384504,1153.40002441406,1.5,91.2,3
1530998086000,40.78559645,-102.36382453,1152.90002441406,1.5,90.8,3
1530998087000,40.78559653,-102.36380213,1153.5,1.5,92,3
